f,Zone,Grade,Store Name,Space code,W,H,Material,D,Qty,Sq.ft.,Cost,,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
16,North,C,Emerald,226GFV5,30'',111'',Backlit Fabric with silicon strip,,1,23.125,,0,backlit,Pillar,Watches,Non-apps,
17,North,C,Emerald, 226GFV6,47'',111'',Backlit Fabric with silicon strip,,1,36.22916667,,0,backlit,Pillar,Watches,Non-apps,
18,North,C,Emerald,226GFV6A,30'',111'',Backlit Fabric with silicon strip,,1,23.125,,0,backlit,Pillar,Watches,Non-apps,
20,North,C,Emerald,226SFCC1,128'',58'',Backlit Fabric with silicon strip,,1,51.55555556,,2,backlit,Cash Counter,Mens,Mens,
21,North,C,Emerald,226SFV1,34'',106'',Backlit Fabric with silicon strip,,1,25.02777778,,2,backlit,Pillar,Mens Denim,Mens,
22,North,C,Emerald,226SFV2,34'',106'',Backlit Fabric with silicon strip,,1,25.02777778,,2,backlit,Pillar,Mens Formal,Mens,
23,North,C,Emerald,226SFV3,58'',106'',Backlit Fabric with silicon strip,,1,42.32638889,,2,backlit,Pillar,Mens Formal,Mens,
24,North,C,Emerald,226SFV5,35'',102'',Backlit Fabric with silicon strip,,1,24.4375,,2,backlit,Pillar,Mens Denim,Mens,
25,North,C,Emerald,226SFV6,35'',102'',Backlit Fabric with silicon strip,,1,24.79166667,,2,backlit,Pillar,Mens Athleisure,Mens,
26,North,C,Emerald,226GFSV1,16'',48'',translit film,,14,5.277777778,,0,Frontlit,Sensomatic,Beauty,Beauty,
27,North,C,Emerald,226GFSV2,16'',48'',translit film,,4,5.333333333,,0,Frontlit,Sensomatic,Fragrance,Beauty,
28,North,C,Emerald,226DS01,,,Need Recce,,,,,0,Digital,Store Entrance,Generic,Generic,
29,North,C,Emerald,226GFV7,,,Need Recce,,,,,0,backlit,Pillar,Mens Footwear,Leather,
30,North,C,Emerald,226FFSV1,,,Actual,,,,,1,Frontlit,Sensomatic,Ladies,Ladies,
31,North,C,Emerald,226SFSV2,,,Actual,,,,,2,Frontlit,Sensomatic,Mens,Mens,
,,,,,,,,,,,,,,,,,
1,North,C,Faridabad,8503GFSOH1,56'',150'',Backlit Fabric with silicon Strip,,1,57.8125,,0,Backlit ,Façade,Generic,Generic,
2,North,C,Faridabad,8503GFSOH2,40'',108'',Backlit Fabric with silicon Strip,,1,30.04774306,,0,Backlit ,Pillar,Watches,Non-apps,
3,North,C,Faridabad,8503GFSOH3,38'',108'',Backlit Fabric with silicon Strip,,1,28.5546875,,0,Backlit ,Pillar,Watches,Non-apps,
4,North,C,Faridabad,8503GFSOH4,6',9',Backlit Fabric with silicon Strip,,1,0.3625,,0,Backlit ,Pillar,Fragrance,Beauty,
5,North,C,Faridabad,8503GFSOH6,101'',94'',Backlit Fabric with silicon Strip,,1,66.10590278,,0,Backlit ,Pillar,Mens Denim,Mens,
6,North,C,Faridabad,8503GFSV1,,,Need Recce,,,,,0,Frontlit,Sensomatic,Generic,Generic,
7,North,C,Faridabad,8503DS01,,,Actual,,,,,0,Digital,Digital,Generic,Generic,
8,North,C,Faridabad,8503GFSV2,,,Need Recce,,,,,0,Frontlit,Sensomatic,Fragrance,Beauty,
9,North,C,Faridabad,8503GFSOH5,,,Need Recce,,,,,0,Backlit ,Pillar,Ladies Western,ladies,
,,,,,,,,,,,,,,,,,
1,North,A,Lucknow,21L1GP1,,,,,,,,0,Frontlit,Façade,Generic,Generic,
2,North,A,Lucknow,21L1GP2,114'',90'',ESML,,1,71.25,,0,Frontlit,Façade,Generic,Generic,
3,North,A,Lucknow,21L1ODVIS1,148'',112'',ESML,,1,115.1111111,,0,Frontlit,Window,Non-apps,Non-apps,
4,North,A,Lucknow,21L1ODVIS3,96'',72'',Flex,,1,48,,0,Frontlit,Window,Generic,Generic,
5,North,A,Lucknow,21L1ODVIS4,48'',72'',Flex,,1,24,,0,Frontlit,Window,Generic,Generic,
6,North,A,Lucknow,21L1ODVIS5,198'',72'',Flex,,1,99,,0,Frontlit,Window,Generic,Generic,
7,North,A,Lucknow,21L1ODVIS6,72'',72'',Flex,,1,36,,0,Frontlit,Window,Generic,Generic,
8,North,A,Lucknow,21L1ODVIS7,96'',72'',Flex,,1,48,,0,Frontlit,Window,Generic,Generic,
9,North,A,Lucknow,21L1ODVIS8,72'',72'',Flex,,1,36,,0,Frontlit,Window,Generic,Generic,
10,North,A,Lucknow,21L1ODVIS9,96'',72'',Flex,,1,48,,0,Frontlit,Window,Generic,Generic,
11,North,A,Lucknow,21L1ODVIS10,30'',72'',Flex,,1,15,,0,Frontlit,Window,Generic,Generic,
