58gffl5,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,,Cost,Level,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
12,South,B,Prestige Kanakpura,8523FFV6,36'',103'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Mens Formal,Mens,
13,South,B,Prestige Kanakpura,8523FFV7,48'',103'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Mens Formal,Mens,
14,South,B,Prestige Kanakpura,8523FFV8,24'',103'',Backlit Fabric with Silicon Strips,,,,,1,Backlit,Pillar,Mens Denim,Mens,
15,South,B,Prestige Kanakpura,8523LGV1,40'',114'',Backlit Fabric with Silicon Strips,,,,,-1,Backlit,Pillar,Indian Wear,Ladies,
16,South,B,Prestige Kanakpura,8523LGV2,31'',101'',Backlit Fabric with Silicon Strips,,,,,-1,Backlit,Pillar,Women Athleisure,Ladies,
17,South,B,Prestige Kanakpura,8523LGV3,36'',103'',Backlit Fabric with Silion Strips,,,,,-1,Backlit,Pillar,Lingerie,Ladies,
18,South,B,Prestige Kanakpura,8523LGV4,24'',103'',Backlit Fabric with Silion Strips,,,,,-1,Backlit,Pillar,Lingerie,Ladies,
19,South,B,Prestige Kanakpura,8523LGV5,36'',103'',Backlit Fabric with Silion Strips,,,,,-1,Backlit,Pillar,Lingerie,Ladies,
20,South,B,Prestige Kanakpura,8523LGV6,24'',102'',Backlit Fabric with Silion Strips,,,,,-1,Backlit,Pillar,Home,Home,
21,South,B,Prestige Kanakpura,8523LGV7,35'',102'',Backlit Fabric with Silion Strips,,,,,-1,Backlit,Pillar,Home,Home,
22,South,B,Prestige Kanakpura,8523LGV8,36'',103'',Backlit Fabric with Silicon Strips,,,,,-1,Backlit,Pillar,Indian Wear,Ladies,
23,South,B,Prestige Kanakpura,8523LGV9,50'',107'',Backlit Fabric with Silicon Strips,,,,,-1,Backlit,Pillar,Ladies,Ladies,
24,South,B,Prestige Kanakpura,8523LGV10,35'',102'',Backlit Fabric with Silion Strips,,,,,-1,Backlit,Pillar,Ladies Western,Ladies,
25,South,B,Prestige Kanakpura,8523LGV11,35'',102'',Backlit Fabric with Silion Strips,,,,,-1,Backlit,Pillar,Ladies Western,Ladies,
26,South,B,Prestige Kanakpura,8523LGV12,24'',102'',Backlit Fabric with Silicon Strips,,,,,-1,Backlit,Pillar,Ladies Western,Ladies,
27,South,B,Prestige Kanakpura,8523LGV13,36'',103'',Backlit Fabric with Silicon Strips,,,,,-1,Backlit,Pillar,Indian Wear,Ladies,
28,South,B,Prestige Kanakpura,8523LGV14,24'',103'',Backlit Fabric with Silicon Strips,,,,,-1,Backlit,Pillar,Ladies Western,Ladies,
29,South,B,Prestige Kanakpura,8523LGV15,24'',103'',Backlit Fabric with Silicon Strips,,,,,-1,Backlit,Pillar,Kids,Kids,
30,South,B,Prestige Kanakpura,8523LGV16,24'',102'',Backlit Fabric with Silion Strips,,,,,-1,Backlit,Pillar,Home,Home,
31,South,B,Prestige Kanakpura,8523LGCC1,186'',81'',Backlit Fabric with Silicon Strips,,,,,-1,Backlit,Cash Counter,Ladies,Ladies,
32,South,B,Prestige Kanakpura,8523LGSV1,16'',56'',Translite Flim,,,,,-1,Frontlit,Sensomatic,Indian Wear,Ladies,
33,South,B,Prestige Kanakpura,8523LGSV2,16'',56'',Translite Flim,,,,,-1,Frontlit,Sensomatic,Kids,Kids,
34,South,B,Prestige Kanakpura,8523GFV15,36'',103'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
35,South,B,Prestige Kanakpura,8523GFFB1,96'',94'',Backlit Fabric with Silicon Strips,,,,,0,Backlit,Façade,Generic,Generic,
36,South,B,Prestige Kanakpura,8523GFCC1,118'',89'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Cash Counter,Non-apps,Non-apps,
37,South,B,Prestige Kanakpura,8523GFV7,36'',135'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Beauty,Beauty,
38,South,B,Prestige Kanakpura,8523GFV8,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Sunglass,Non-apps,
39,South,B,Prestige Kanakpura,8523GFV9,30'',103'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Sunglass,Non-apps,
