,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category,Category,Comments
11,West,A,Ahmedabad,51SFCC1,147'',58'',Backlit Fabric with silicon strips,,1,58.49826389,,2,Backlit,Cash Counter,Generic,Generic,,
12,West,A,Ahmedabad,51SFSV1,15'',57'',Translit film,,8,5.885416667,,2,Frontlit,Sensomatic,Generic,Generic,,
13,West,A,Ahmedabad,51SFB1,39'',94'',Backlit Fabric with silicon strips,,1,25.10520833,,2,Backlit,Façade,Generic,Generic,,
14,West,A,Ahmedabad,51SFV1,29'',102'',Backlit Fabric with silicon strips,,1,20.54166667,,2,Backlit,Pillar,Kids,Kids,,
15,West,A,Ahmedabad,51SFV2,29'',102'',Backlit Fabric with silicon strips,,1,20.54166667,,2,Backlit,Pillar,Mens Formal,Mens,,
16,West,A,Ahmedabad,51SFV3,29'',102'',Backlit Fabric with silicon strips,,1,20.54166667,,2,Backlit,Pillar,Mens Formal,Mens,,
17,West,A,Ahmedabad,51GFV1,45'',77'',Backlit Fabric with Silion Strips,,1,24.0625,,0,Backlit,Pillar,Beauty,Beauty,,
18,West,A,Ahmedabad,51GFV2,45'',100'',Backlit Fabric with Silion Strips,,1,31.25,,0,Backlit,Pillar,Beauty,Beauty,,
19,West,A,Ahmedabad,51GFV3,33'',127'',Backlit Fabric with Silion Strips,,1,29.01597222,,0,Backlit,Pillar,Beauty,Beauty,,
20,West,A,Ahmedabad,51GFV4,33'',127'',Backlit Fabric with Silion Strips,,1,29.01597222,,0,Backlit,Pillar,Beauty,Beauty,,
21,West,A,Ahmedabad,51GFV5,32'',128'',Backlit Fabric with Silion Strips,,1,28.44444444,,0,Backlit,Pillar,Watches,Non-apps,,
22,West,A,Ahmedabad,51GFV6,37'',128'',Backlit Fabric with Silion Strips,,1,32.88888889,,0,Backlit,Pillar,Watches,Non-apps,,
23,West,A,Ahmedabad,51GFV7,34'',128'',Backlit Fabric with Silion Strips,,1,30.22222222,,0,Backlit,Cash Counter,Watches,Non-apps,,
24,West,A,Ahmedabad,51GFV8,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,0,Backlit,Pillar,Watches,Non-apps,,
25,West,A,Ahmedabad,51GFV10,24'',102'',Backlit Fabric with Silion Strips,,1,16.69479167,,0,Backlit,Pillar,Ladies Western,Ladies,,
26,West,A,Ahmedabad,51GFV11,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,0,Backlit,Pillar,Lingerie,Ladies,,
27,West,A,Ahmedabad,51GFV12,29'',102'',Backlit Fabric with Silion Strips,,1,20.54166667,,0,Backlit,Pillar,Ladies Western,Ladies,,
