f,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category
29,East,A,Kol 3,28GFSOH4,35'',107'',Vinyl on sunboard ,,1,26.00694444,,0,Frontlit,Pillar,Indian Wear,Ladies
30,East,A,Kol 3,28GFSOH5,42'',102'',Backlit Fabric with silicon strip,,1,29.39583333,,0,Frontlit,Pillar,Fragrance,Beauty
31,East,A,Kol 3,28GFSOH6,"27""","99""",Backlit Fabric with silicon strip,,1,#VALUE!,,0,Backlit,Pillar,Fragrance,Beauty
32,East,A,Kol 3,28GFSOH7,29'',107'',Eco Solvent Self adhesive vinyl with matt lamination,,1,21.17708333,,0,Backlit,Pillar,Indian Wear,Ladies
33,East,A,Kol 3,28GFSOH8,35'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,24.54861111,,0,Frontlit,Pillar,Lingerie,Ladies
34,East,A,Kol 3,28GFSOH9,35'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,24.54861111,,0,Frontlit,Pillar,Lingerie,Ladies
35,East,A,Kol 3,28GFSOH10,35'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,24.54861111,,0,Frontlit,Pillar,Lingerie,Ladies
36,East,A,Kol 3,28GFSOH15,23'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,1,14.921875,,0,Frontlit,Pillar,Kids,Kids
37,East,A,Kol 3,28GFSOH17,23'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,1,14.921875,,0,Frontlit,Pillar,Kids,Kids
38,East,A,Kol 3,28GFCC1,139'',68'',Eco Solvent Self adhesive vinyl with matt lamination,,1,65.63888889,,0,Frontlit,Cash Counter,Non-apps,Non-apps
39,East,A,Kol 3,28GFCC2,60'',48'',Eco Solvent Self adhesive vinyl with matt lamination,,1,20,,0,Backlit,Cash Counter,Generic,Generic
40,East,A,Kol 3,28GFSV1,16'',58'',VOSB BOX,,4,6.444444444,,0,Frontlit,Sensomatic,Non-apps,Non-apps
41,East,A,Kol 3,28FFSOH1,31'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,21.39236111,,1,Frontlit,Pillar,Mens Denim,Mens
42,East,A,Kol 3,28FFSOH2,35'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,24.54861111,,1,Frontlit,Pillar,Mens Denim,Mens
43,East,A,Kol 3,28FFSOH3,36'',102'',Eco Solvent Self adhesive vinyl with matt lamination,,1,25.5,,1,Frontlit,Pillar,Mens Denim,Mens
44,East,A,Kol 3,28FFSOH4,36'',102'',Eco Solvent Self adhesive vinyl with matt lamination,,1,25.5,,1,Frontlit,Pillar,Mens Denim,Mens
45,East,A,Kol 3,28FFSOH5,36'',102'',Eco Solvent Self adhesive vinyl with matt lamination,,1,25.5,,1,Frontlit,Pillar,Mens Denim,Mens
46,East,A,Kol 3,28FFSOH6,35'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,24.54861111,,1,Frontlit,Pillar,Ugs,Mens
47,East,A,Kol 3,28FFSOH7,35'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,24.54861111,,1,Frontlit,Pillar,Ugs,Mens
48,East,A,Kol 3,28FFSOH8,35'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,24.54861111,,1,Frontlit,Pillar,Ugs,Mens
49,East,A,Kol 3,28FFSOH9,36'',102'',Eco Solvent Self adhesive vinyl with matt lamination,,1,25.5,,1,Frontlit,Pillar,Ugs,Mens
,,,,,,,,,,,,,,,,
50,East,A,Kol 3,28ODW4,125'',114'',Black Back Frontlit Flex ,,1,98.95833333,,0,Frontlit,Window,Generic,Generic
51,East,A,Kol 3,28ODW10,312'',144'',,,1,312,,0,Frontlit,Window,Generic,Generic
52,East,A,Kol 3,28ESC2,151'',104'',Eco Solvent Self adhesive vinyl with matt lamination,,1,109.0555556,,1,Frontlit,Stairway,Generic,Generic
53,East,A,Kol 3,28ESC3,122'',70'',Eco Solvent Self adhesive vinyl with matt lamination,,1,59.30555556,,1,Backlit,Stairway,Generic,Generic
54,East,A,Kol 3,28DS01,,,ACTUAL PICTURE,,,,,1,Digital,Stairway,Generic,Generic
55,East,A,Kol 3,28DS02,,,ACTUAL PICTURE,,,,,1,Digital,Stairway,Generic,Generic
,,,,,,,,,,,,,,,,
1,East,B,Kol Acropolis,88SFSOH2,68'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,47.86979167,,2,Frontlit,Pillar,Mens Athleisure,Mens
2,East,B,Kol Acropolis,88GFSOH3,27'',108'',Eco Solvent Self adhesive vinyl with matt lamination,,1,20.1,,0,Frontlit,Pillar,Watches,Non-apps
3,East,B,Kol Acropolis,88GFSOH4,2'3'',9',Eco Solvent Self adhesive vinyl with matt lamination,,1,#VALUE!,,0,Frontlit,Pillar,Beauty,Beauty
4,East,B,Kol Acropolis,88GFSOH5,95'',32'',Eco Solvent Self adhesive vinyl with matt lamination,,1,21.11111111,,0,Frontlit,Cash Counter,Ladies,Ladies
5,East,B,Kol Acropolis,88GFW1,324'',138'',Eco Solvent Self adhesive vinyl with matt lamination,,1,310.5,,0,Frontlit,Window,Generic,Generic
6,East,B,Kol Acropolis,88GFW2,266'',130'',Eco Solvent Self adhesive vinyl with matt lamination,,1,240.1388889,,0,Frontlit,Window,Generic,Generic
7,East,B,Kol Acropolis,88GFW3,266'',145'',Eco Solvent Self adhesive vinyl with matt lamination,,1,267.8472222,,0,Frontlit,Window,Generic,Generic
8,East,B,Kol Acropolis,88GFW4,199'',118'',Eco Solvent Self adhesive vinyl with matt lamination,,1,#VALUE!,,0,Frontlit,Window,Beauty,Beauty
9,East,B,Kol Acropolis,88FFSOH1,69'',108'',Eco Solvent Self adhesive vinyl with matt lamination,,1,51.79111111,,1,Frontlit,Pillar,Kids,Kids
10,East,B,Kol Acropolis,88FFSOH2,37'',109'',Eco Solvent Self adhesive vinyl with matt lamination,,1,27.85555556,,1,Frontlit,Pillar,Kids,Kids
11,East,B,Kol Acropolis,88FFSOH3,37'',109'',Eco Solvent Self adhesive vinyl with matt lamination,,1,28.00694444,,1,Frontlit,Pillar,Kids,Kids
12,East,B,Kol Acropolis,88FFSOH7,46'',103'',Eco Solvent Self adhesive vinyl with matt lamination,,1,33.05305556,,1,Frontlit,Pillar,Ladies Western,Ladies
