Unit No,Store,Store Address
712,HomeStop Malad,"HomeStop. Inorbit Mall (I) Pvt Ltd, Plot No - 1406 - A, 28/A Link Road, Malad - West, Mumbai - 400 064."
715,HomeStop Lucknow,"HomeStop. Fun Republic Mall, Gomti Nagar Lucknow."
717,HomeStop R City Ghatkopar,"HomeStop, R-City Mall, L.B.S.Marg, Ghatkopar (W), Mumbai - 400 086."
718,HomeStop RMM Bangalore,"HomeStop. Royal Meenakshi Mall, Municipal No 424/376/487, Hilimayu Village, Bannergetta Road, Bengaluru - 560 076."
719,HomeStop Vastrapur Ahmd,"HomeStop, Ahmedabad One Mall, Vastrapur,Ahmedabad – 380 054."
726,HomeStop Velachery Chennai,"HomeStop, Shop No : F18, Phoenix Market City Mall, No: 142,Velachery Main Road,Chennai - 600 042."
733,HomeStop Magarpatta Pune,"HomeStop, G-26 & F-16,Seasons Mall, Magarpatta, Hadapsar, Pune -411 013."
851,"Lulu Mall, Trivandrum","Shoppers Stop Ltd, Lulu Mall, Opp. Techno Park, NH 66 Bypass Road, Akkulam, Thiruvananthapuram 695029"
8501,Skymark Noida,"Shoppers Stop Ltd, Skymark One, Plot No H - 10A, Sector 98, Noida 201 301"
8502,"Nucleus Parikrama Mall, Ranchi","Shoppers Stop Ltd, Nucleus Parikrama, Arrow Line Real State Pvt Ltd, Kanke Road, Opp. Rock Garden, Beside Yamaha Showroom, Ranchi, Jharkhand 834008."
8503,Faridabad BATA chowk,
8504,Mumbai Airport Store 8504,
8505,Mumbai Airport Store 8505,
8506,Mumbai Airport Store 8506,"Shoppers Stop Ltd, T2, Domestic & International Departure, Chhatrapati Shivaji Maharaj, International Airport , Mumbai -400099"
8511,Indore 2,
8512,Gwalior,"Shoppers Stop Ltd, Keshar Towers, Race course road, Gwalior – 474009"
8514,Patna,"Shoppers Stop Ltd, City Centre Patna, Budh Marg, Lodhipur, Opposite Lodhipur Fire Station, Patna-800001. Bihar"
8521,Newtown Marriott Kolkata,"Shoppers Stop Ltd, Plot No.Cb-217, Premises No.29-111, Arterial Road(Mar). Action Area-Ic, New Town, Kolkata- 700156"
8523,Kankapura Bang,
